airport	LHR	airport	MAN	domestic
airport	LGA	airport	BOS	domestic
airport	PHX	airport	BOI	domestic
airport	ORD	airport	DCA	domestic
airport	PDX	airport	CLT	domestic
airport	MEM	airport	DFW	domestic
airport	PBI	airport	DFW	domestic
airport	PHL	airport	DEN	domestic
airport	LAX	airport	LAS	domestic
airport	SDF	airport	DFW	domestic
airport	PHL	airport	DTW	domestic
airport	MSP	airport	LAX	domestic
airport	PHL	airport	MSP	domestic
airport	BDL	airport	ORD	domestic
airport	SAN	airport	MIA	domestic
airport	SAN	airport	ORD	domestic
airport	BOI	airport	DFW	domestic
airport	SEA	airport	ORD	domestic
airport	CLT	airport	MSP	domestic
airport	PSP	airport	ORD	domestic
airport	CLT	airport	IND	domestic
airport	SLC	airport	PHX	domestic
airport	CLT	airport	PDX	domestic
airport	DCA	airport	MSY	domestic
airport	DCA	airport	LAS	domestic
airport	DFW	airport	PHL	domestic
airport	DFW	airport	RDU	domestic
airport	DFW	airport	MEM	domestic
airport	HNL	airport	PHX	domestic
airport	JFK	airport	LAS	domestic
airport	EWR	airport	MIA	domestic
airport	LAX	airport	ORD	domestic
airport	MIA	airport	SFO	domestic
airport	MSP	airport	ORD	domestic
airport	MIA	airport	SAT	domestic
airport	PHX	airport	RNO	domestic
airport	ORD	airport	TPA	domestic
airport	HIJ	airport	CTS	domestic
airport	IZO	airport	HND	domestic
airport	MYJ	airport	HND	domestic
airport	KIX	airport	HND	domestic
airport	OKA	airport	NGO	domestic
airport	FUK	airport	OKA	domestic
airport	HND	airport	OKA	domestic
airport	KZN	airport	DME	domestic
airport	MAN	airport	LHR	domestic
airport	DRW	airport	PER	domestic
airport	CBR	airport	SYD	domestic
airport	LED	airport	KGD	domestic
airport	VGO	airport	MAD	domestic
airport	DME	airport	KZN	domestic
airport	PHX	airport	AUS	domestic
airport	GVA	airport	ZRH	domestic
airport	LGA	airport	ATL	domestic
airport	PHL	airport	BDL	domestic
airport	JFK	airport	BOS	domestic
airport	MCI	airport	CLT	domestic
airport	PHL	airport	CLT	domestic
airport	MAD	airport	XRY	domestic
airport	PBI	airport	DCA	domestic
airport	DSM	airport	DFW	domestic
airport	LGA	airport	DFW	domestic
airport	PHL	airport	DFW	domestic
airport	PHX	airport	EWR	domestic
airport	MCO	airport	JFK	domestic
airport	MIA	airport	MCO	domestic
airport	AUS	airport	LAX	domestic
airport	ORD	airport	MSP	domestic
airport	PHL	airport	LAS	domestic
airport	RNO	airport	ORD	domestic
airport	BWI	airport	CLT	domestic
airport	BWI	airport	MIA	domestic
airport	PHX	airport	OAK	domestic
airport	CLT	airport	DEN	domestic
airport	SNA	airport	PHX	domestic
airport	CMH	airport	PHX	domestic
airport	DCA	airport	PHX	domestic
airport	CLT	airport	PHX	domestic
airport	CLT	airport	TPA	domestic
airport	DFW	airport	OGG	domestic
airport	DFW	airport	FLL	domestic
airport	DFW	airport	JFK	domestic
airport	FLL	airport	PHL	domestic
airport	JFK	airport	ORD	domestic
airport	DFW	airport	SMF	domestic
airport	MCO	airport	PHX	domestic
airport	LIH	airport	PHX	domestic
airport	ORD	airport	SAN	domestic
airport	ORD	airport	PBI	domestic
airport	PHL	airport	PIT	domestic
airport	PHX	airport	SNA	domestic
airport	HND	airport	CTS	domestic
airport	CBR	airport	ADL	domestic
airport	SYD	airport	CBR	domestic
airport	OOL	airport	MEL	domestic
airport	PER	airport	MEL	domestic
airport	HND	airport	TKS	domestic
airport	HND	airport	MMB	domestic
airport	GOJ	airport	DME	domestic
airport	ADL	airport	SYD	domestic
airport	BME	airport	SYD	domestic
airport	CLT	airport	SXM	domestic
airport	MEM	airport	CLT	domestic
airport	LCG	airport	MAD	domestic
airport	PHX	airport	BWI	domestic
airport	LAX	airport	CLT	domestic
airport	SAT	airport	CLT	domestic
airport	ORD	airport	DEN	domestic
airport	JFK	airport	DFW	domestic
airport	IAD	airport	DFW	domestic
airport	SAN	airport	DFW	domestic
airport	PHX	airport	KOA	domestic
airport	LAX	airport	KOA	domestic
airport	MIA	airport	LAS	domestic
airport	AUS	airport	DFW	domestic
airport	PHX	airport	MEM	domestic
airport	MCO	airport	LGA	domestic
airport	AUS	airport	ORD	domestic
airport	PHX	airport	LAX	domestic
airport	AMA	airport	DFW	domestic
airport	PHL	airport	ORD	domestic
airport	PHX	airport	PHL	domestic
airport	BWI	airport	PHX	domestic
airport	BOS	airport	LAX	domestic
airport	CLT	airport	SEA	domestic
airport	DFW	airport	DSM	domestic
airport	DEN	airport	MIA	domestic
airport	DFW	airport	JAX	domestic
airport	IAD	airport	MIA	domestic
airport	DFW	airport	TUL	domestic
airport	EWR	airport	ORD	domestic
airport	MIA	airport	MSY	domestic
airport	MCI	airport	PHX	domestic
airport	MCO	airport	MIA	domestic
airport	ORD	airport	PHX	domestic
airport	PBI	airport	PHL	domestic
airport	PHX	airport	SFO	domestic
airport	NRT	airport	CTS	domestic
airport	SCL	airport	PNT	domestic
airport	ASP	airport	ADL	domestic
airport	DRW	airport	BNE	domestic
airport	WGA	airport	SYD	domestic
airport	SYD	airport	HTI	domestic
airport	KIX	airport	OKA	domestic
airport	KUO	airport	HEL	domestic
airport	BNE	airport	CNS	domestic
airport	SYD	airport	WGA	domestic
airport	FRA	airport	MUC	domestic
airport	LAX	airport	ATL	domestic
airport	DFW	airport	AUS	domestic
airport	LAX	airport	BNA	domestic
airport	MIA	airport	CLT	domestic
airport	DEN	airport	CLT	domestic
airport	STL	airport	CLT	domestic
airport	TPA	airport	DCA	domestic
airport	PIT	airport	CLT	domestic
airport	MSP	airport	DFW	domestic
airport	OGG	airport	DFW	domestic
airport	MIA	airport	DFW	domestic
airport	RDU	airport	DFW	domestic
airport	LAX	airport	JFK	domestic
